1;1;2;2;0;815;1100
1;2;5;5;0;873;975
1;3;14;14;0;7000;9000
1;4;0;0;0;1350;2000
1;5;0;0;1;1166;1450
1;6;6;6;1;377;450
1;7;1;1;0;1500;1800
1;8;22;22;1;710;850
1;9;2;2;0;2829;3200
1;10;7;7;0;723;900
1;11;7;7;0;1273;1550
1;12;6;6;0;880;1100
1;13;2;2;1;1071;1300
1;14;1;1;0;2872;3500
1;15;2;2;1;1270;1850
1;16;55;55;5;10;100
1;17;4;4;6;500;750
1;18;1;1;0;1215;1650
1;19;2;2;1;807;1100
1;20;3;3;1;757;1000
1;21;1;1;1;757;1000
1;22;3;3;1;757;1000
1;23;5;5;0;324;450
1;24;23;23;1;500;700
1;25;9;9;1;553;750
1;26;14;14;1;664;900
1;27;6;6;0;566;750
1;28;9;9;0;623;900
1;29;0;0;1;500;725
1;30;2;2;1;1383;1900
1;31;19;19;1;95;100
1;32;2;2;0;565;700
1;33;17;17;0;500;1000
1;34;5;5;1;950;1350
1;35;6;6;0;403;700
1;36;1;1;0;376;500
1;37;20;20;0;1;250
1;38;5;5;0;378;550
1;39;6;6;0;1083;1500
1;40;1;1;1;1084;1500
1;41;5;5;1;603;900
1;42;3;3;1;1094;1500
1;43;4;4;1;1070;1300
1;44;7;7;1;754;1000
1;45;10;10;1;1177;1400
1;46;2;2;0;477;700
1;47;7;7;0;196;275
1;48;55;55;0;54;275
1;49;6;6;0;175;300
1;50;38;38;0;0;200
1;51;0;0;0;980;1350
1;52;5;5;0;1083;1300
1;53;5;5;1;980;1350
1;54;5;5;1;980;1350
1;55;0;0;1;980;1350
1;56;2;2;1;980;1350
1;57;2;2;0;1884;2100
1;58;6;6;0;306;425
1;59;2;2;0;1412;1800
1;60;2;2;0;1;450
1;61;17;17;0;150;300
1;62;6;6;0;156;450
1;63;2;2;0;2035;2450
1;64;2;2;0;864;1050
1;65;2;2;0;1076;1200
1;66;0;0;0;486;700
1;67;6;6;0;130;175
1;68;10;10;1;1416;1700
1;69;10;10;1;1225;1350
1;70;4;4;1;680;750
1;71;11;11;1;680;850
1;72;14;14;0;1227;1400
1;73;4;4;0;614;700
1;74;12;12;0;572;750
1;75;0;0;0;1076;1200
1;76;17;17;0;250;300
1;77;2;2;0;981;1200
1;78;9;9;0;1121;1400
1;79;5;5;0;937;1200
1;80;1;1;0;1127;1450
1;81;6;6;0;524;1100
1;82;5;5;0;620;850
1;83;9;9;10;1000;1500
1;84;5;5;1;1155;1400
1;85;7;7;1;2001;2450
1;86;7;7;1;1155;1400
1;87;0;0;0;500;1100
1;88;8;8;1;2001;2450
1;89;4;4;0;981;1200
1;90;0;0;0;1274;1550
1;91;6;6;0;1442;2000
1;92;1;1;0;1122;1350
1;93;7;7;0;721;900
1;94;9;9;0;1745;2600
1;95;3;3;0;1550;2000
1;96;0;0;0;1017;1400
1;97;3;3;0;2009;2500
1;98;1;1;0;1;2750
1;99;14;14;1;765;950
1;100;8;8;1;1276;1550
1;101;9;9;1;450;650
